Presented in Figure 2 D and Figure S2 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current clamp recording in SOM INs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Number per 1st pulse (Figure 2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM IN Nr,Control,Baclofen,CGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDNF IN Nr,Control,Baclofen,CGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.740328,1.10598,0.714248663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.996567,1.503912,0.994195145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.964582,1.28663,1.010263711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.005997,1.177335,0.853140735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.021903,1.290863,0.989938238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.904849,1.046457,0.91349693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.183137,1.497163,0.951044314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.558655,0.766406,0.554049408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.988992,1.031045,1.023498849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.513511,1.156469,0.816470703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.820975,1.237549,1.106598717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.827611,1.310592,0.837831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.917845,1.322826,0.821424311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 Hz Paired Pulse Recordings in NDNF INs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDNF IN Nr,Control,Baclofen,CGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.657261,1.05205,0.74346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.985982,1.40001,1.047887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.00837,1.122851,0.962512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.08367,1.556264,1.016107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.924913,1.022224,1.122836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.242101,1.643465,1.074198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.571494,0.922512,0.720892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.023378,1.181865,1.062772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.471706,1.154584,0.725887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.852616,1.752848,1.010387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.932529,1.470529,0.903578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.834846,1.462106,0.795096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Presented in Figure 2 F (right), S1 E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 Hz Paired Pulse Recordings in NDNF INs - Mean PSC Amplitude 1st peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDNF IN Nr,Control,Baclofen,CGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,112.6345,30.75368,96.82275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,293.3746,63.06858,244.9882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,742.2146,86.47522,557.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,477.3046,141.9745,382.4794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,142.1152,54.64281,193.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,122.4537,66.60904,139.0706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,160.9724,88.78503,151.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,377.4442,172.0577,258.4837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,307.169,172.6188,289.6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,422.6517,90.06903,294.6846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,226.276,53.2373,294.5296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,208.8575,68.34701,316.0735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,756.601,289.9502,742.1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
